Country,Confirmed,Deaths,Recovered
Afghanistan,537,21,8
Algeria,19,0,0
Andorra,1,0,0
Argentina,12,1,0
Armenia,1,0,0
Australia,76,0,21
Austria,104,0,0
Azerbaijan,9,0,0
Bahrain,85,0,4
Bangladesh,3,0,0
Belarus,6,0,0
Belgium,200,0,1
Bhutan,1,0,0
Bosnia and Herzegovina,3,0,0
Brazil,20,0,0
Bulgaria,4,0,0
Cambodia,2,0,1
Cameroon,2,0,0
Canada,64,0,8
Chile,8,0,0
Colombia,1,0,0
Costa Rica,5,0,0
Croatia,12,0,0
Czech Republic,31,0,0
Denmark,35,0,1
Dominican Republic,5,0,0
Ecuador,14,0,0
Egypt,49,1,1
Estonia,10,0,0
Faroe Islands,2,0,0
Finland,23,0,1
France,1126,19,12
French Guiana,5,0,0
Georgia,13,0,0
Germany,1040,0,18
Gibraltar,1,0,0
Greece,73,0,0
Hong Kong,114,3,58
Hungary,7,0,0
Iceland,50,0,0
India,39,0,3
Indonesia,6,0,0
Iran,6566,194,2134
Iraq,60,6,0
Ireland,19,0,0
Israel,39,0,2
Italy,7375,366,622
Japan,502,6,76
Jordan,1,0,0
Kuwait,64,0,1
Latvia,2,0,0
Lebanon,32,0,1
Liechtenstein,1,0,0
Lithuania,1,0,0
Luxembourg,3,0,0
Macau,10,0,10
Mainland China,80699,3097,57320
Malaysia,99,0,24
Maldives,4,0,0
Malta,3,0,0
Martinique,2,0,0
Mexico,7,0,1
Moldova,1,0,0
Monaco,1,0,0
Morocco,2,0,0
Nepal,1,0,1
Netherlands,265,3,0
New Zealand,5,0,0
Nigeria,1,0,0
North Macedonia,3,0,0
Norway,176,0,0
Oman,16,0,2
Others,696,6,40
Pakistan,6,0,1
Palestine,22,0,0
Paraguay,1,0,0
Peru,6,0,0
Philippines,10,1,1
Poland,11,0,0
Portugal,30,0,0
Qatar,15,0,0
Republic of Ireland,15,0,0
Romania,15,0,3
Russia,17,0,3
Saint Barthelemy,3,0,0
San Marino,36,1,0
Saudi Arabia,11,0,0
Senegal,4,0,1
Serbia,1,0,0
Singapore,150,0,78
Slovakia,3,0,0
Slovenia,16,0,0
South Africa,3,0,0
South Korea,7314,50,118
Spain,673,17,30
Sri Lanka,1,0,0
Sweden,203,0,0
Switzerland,337,2,3
Taiwan,45,1,13
Thailand,50,1,31
Togo,1,0,0
Tunisia,2,0,0
UK,273,3,18
Ukraine,1,0,0
United Arab Emirates,45,0,7
US,90,1,1
Vatican City,1,0,0
Vietnam,0,0,0
